0,1,"[0] Modification : Classe d'armure","Valeur","Type de dégât","Modifie de 'Valeur' la Classe d'Armure de la cible selon le 'Type de dégât' indiqué

'Type de dégât' :
 0   Tous (contondant, projectile, perforant et tranchant)
 1   Contondant
 2   Projectile
 4   Perforant
 8   Tranchant
 16  Tous (non cumulatif avec l'armure de la cible)
 Autre  Sans effet

* 'Type' 0 affecte la stat #2 (ARMORCLASS)
* 'Type' 1 affecte la stat #3 (ACCRUSHINGMOD)
* 'Type' 2 affecte la stat #4 (ACMISSILEMOD)
* 'Type' 4 affecte la stat #5 (ACPIERCINGMOD)
* 'Type' 8 affecte la stat #6 (ACSLASHINGMOD)
* 'Type' 16 affecte la stat #2 (ARMORCLASS)
* Toutes les classes d'armure sont bornées en [-20; 20]"
1,2,"[1] Modification : Attaque par round","Entrée","Méthode","Modifie le nombre d'attaque par round de la cible selon la valeur correspondante au champ 'Entrée' et la 'Méthode' souhaitée.

Entrée     Valeur correspondante
 0              0
 1              1
 2              2
 3              3
 4              4
 5              5
 6              0.5
 7              1.5
 8              2.5                                                                                                                                                                                             
 9              3.5
 10+          4.5

'Méthode' :
 0   Incrémentation  -> Nombre_d'attaque += 'Valeur'
 1   Écrasement  -> Nombre_d'attaque = 'Valeur'
 2   Pourcentage -> Nombre_d'attaque *=  'Valeur' / 100
 3   Inconnu
 4+ Sans effet

* Le nombre d'attaque par round ne peut excéder 5
* En Pourcentage, la nouvelle valeur est tronquée. Les bonus d'équipement sont ignorés
* Affecte la stat #8 (NUMBEROFATTACKS)
* 'Entrée' peut être négatif (la valeur correspondante devient elle aussi négative)"
2,2,"[2] Dissipation : Sommeil","N/A","N/A","Dissipe instantanément de la cible les effets de Sommeil.

* Retire STATE_SLEEPING (0x1)
* Dissipe l'opcode n°39
* Par extension, dissipe l'opcode n°217
* Retire l'icône n°14 (Sommeil)"
3,1,"[3] État : Berserk","N/A","Type","Active l'état Berserk sur la cible.

'Type' : (seulement si Timing != 1)
 1      permanent
* Active SplState 33 (BERSERK_ALWAYS_ACTIVE)
* Affecte 1 à la stat #144 (BERSERKSTAGE2)
* S'équipe de son arme de mêlée la plus puissante
 Autre  activé seulement en combat

* Active STATE_BERSERK (0x2)
* Protège contre les opcodes n°23, 24 et 106
* Scripts inactifs
* Devient incontrôlable (cercle jaune)
* Dégâts +2, Tac0 +2
* S'équipe de son arme de mêlée la plus puissante
* Attaque les ennemis à vue et occasionnellement les personnages neutres
* Sans icône : opcode n°142, icône n°4
* Est dissipé par l'opcode n°4"
4,2,"[4] Dissipation : Berserk","N/A","N/A","Dissipe instantanément de la cible les effets de Berserk.

* Retire STATE_BERSERK (0x2)
* Dissipe l'opcode n°3 (Berserk)
* Dissipe l'opcode n°247"
5,4,"[5] État : Charme I","Type de la cible","Type de Charme","Altère l'allégeance de la cible de la façon indiquée dans le champ 'Type de Charme', n'est efficace que si le type de la cible correspond au champ 'Type de la cible'.

'Type de la cible' (cf General.IDS) :
 0   Tous
 1   Humanoïde
 2   Animal
 4   Mort-vivant
 5   Géant
 7   Plante
 255 Monstre

'Type de Charme'
 0     Charme neutre
* NOTGOOD devient / (7)
* PC devient CHARMED_PC (254)
* Affiche l'icône n°0
* Affiche la StrRef n°14672
 1     Charme hostile
* NOTGOOD devient / (7)
* PC devient CHARMED_PC (254)
* Affiche l'icône n°0
* Affiche la StrRef n°14672
 2     Charme néfaste neutre
* NOTGOOD devient CONTROLLED (5)
* PC devient ENEMY (255)
* Affiche l'icône n°1
* Affiche la StrRef n°14780
 3     Charme néfaste hostile
* NOTGOOD devient CONTROLLED (5)
* PC devient ENEMY (255)
* Affiche l'icône n°1
* Affiche la StrRef n°14780
 4     Contrôlé par clerc hostile
* NOTGOOD devient CONTROLLED (5)
* PC devient ENEMY (255)
* Sans icône
* Affiche la StrRef n°61394
 5     Charme neutre
* La cible devient ENEMY (255)
* Affecte 1 à la stat #149 (THRULLCHARM)
* Affiche l'icône n°0
* Affiche la StrRef n°14672

 1000  Comme 0, sans StrRef
 1001  Comme 1, sans StrRef
 1002  Comme 2, sans StrRef, affiche l'icône 43
 1003  Comme 3, sans StrRef, affiche l'icône 43
 1004  Comme 4, sans StrRef
 1005  Comme 5, sans StrRef


Pour tous les 'Type de Charme' :
* Active STATE_CHARMED (0x2000)
* Une cible charmée ne peut utiliser le trigger Dialog() excepté si la stat #149 (THRULLCHARM) != 0
* Une cible charmée et attaquée par un GOODCUTOFF rompt le charme et la cible devient ENEMY 
* Une cible charmée par un NEUTRAL devient EVILCUTOFF
* Scripts inactifs
* Une cible ENEMY attaque automatiquement ses nouveaux ennemis
* Rien n'empêche une cible de se charmer elle-même
* Est dissipé par les actions Enemy() et Ally()
* Similaire à l'opcode n°241"
6,1,"[6] Modification : Charisme","Valeur","Méthode","Modifie le Charisme de la cible selon la 'Méthode' souhaitée.

'Méthode' :
 0   Incrémentation  -> Charisme += 'Valeur'
 1   Écrasement  -> Charisme = 'Valeur'
 2   Pourcentage -> Charisme *= 'Valeur' / 100
 3+ Sans effet

* 'Valeur' peut être positif ou négatif
* Affecte la stat #42 (CHR)
* Est borné par [0; 25]"
7,1,"[7] Visuel : Coloration (Palette)","Dégradé n°","Position","Modifie la couleur de la cible sur la zone correspondante à la 'Position'
La couleur est à spécifier dans le champ 'Dégradé n°'

'Position' :
 00  Boucle de ceinture (en armure) ou amulette (en robe)
 01  Couleur mineure
 02  Couleur principale
 03  Pigmentation de la peau
 04  Couleur spéciale (en armure) ou couleur mineure (en robe)
 05  Couleur d'armure
 06  Coloration des cheveux
 16  Quillons ou garde
 20  Protège-poignet
 21  Lame ou majeure partie de l'arme
 32  Bouclier (Moyeu)
 33  Bouclier (Intérieur)
 34  Bouclier (Boiserie)
 34  Casque (Divers)
 37  Bouclier (Bordure)
 48  Casque (Décoration - ailes)
 49  Casque (Décoration - crinière)
 50  Casque (Décoration - crinière)
 52  Casque (Faciale)
 53  Majeure partie du casque
 255 Intégralité du corps"
8,3,"[8] Visuel : Coloration (RGB)","Code RGB","Position","Modifie la couleur de la cible sur la zone correspondante à la 'Position'
Le code couleur est à spécifier dans le champ 'Code RGB' (calcul en nuance de rouge/vert/bleu)

'Code RGB' :
 Bit 2 = Rouge (0-255)
 Bit 3 = Vert  (0-255)
 Bit 4 = Bleu  (0-255)

'Position' :
 00  Boucle de ceinture (en armure) ou amulette (en robe)
 01  Couleur mineure
 02  Couleur principale
 03  Pigmentation de la peau
 04  Couleur spéciale (en armure) ou couleur mineure (en robe)
 05  Couleur d'armure
 06  Coloration des cheveux
 16  Quillons ou garde
 20  Protège-poignet
 21  Lame ou majeure partie de l'arme
 32  Bouclier (Moyeu)
 33  Bouclier (Intérieur)
 34  Bouclier (Boiserie)
 34  Casque (Divers)
 37  Bouclier (Bordure)
 48  Casque (Décoration - ailes)
 49  Casque (Décoration - crinière)
 50  Casque (Décoration - crinière)
 52  Casque (Faciale)
 53  Majeure partie du casque
 255 Intégralité du corps"
9,2,"[9] Visuel : Rayonnement (RGB)","Code RGB","Position/Fréquence","La zone de la cible précisée dans le champ 'Position' se met à rayonner la couleur indiquée dans le champ 'Code RGB'
L'intervalle entre chaque rayonnement est à définir dans le champ 'Fréquence'

'Code RGB' :
 Bit 2 = Rouge (0-255)
 Bit 3 = Vert  (0-255)
 Bit 4 = Bleu  (0-255)

'Position/Fréquence' :
 Bit 1 = Position
 Bit 3 = Fréquence (0-255)

'Position' :
 00  Boucle de ceinture (en armure) ou amulette (en robe)
 01  Couleur mineure
 02  Couleur principale
 03  Pigmentation de la peau
 04  Couleur spéciale (en armure) ou couleur mineure (en robe)
 05  Couleur d'armure
 06  Coloration des cheveux
 16  Quillons ou garde
 20  Protège-poignet
 21  Lame ou majeure partie de l'arme
 32  Bouclier (Moyeu)
 33  Bouclier (Intérieur)
 34  Bouclier (Boiserie)
 34  Casque (Divers)
 37  Bouclier (Bordure)
 48  Casque (Décoration - ailes)
 49  Casque (Décoration - crinière)
 50  Casque (Décoration - crinière)
 52  Casque (Faciale)
 53  Majeure partie du casque
 255 Intégralité du corps

* Similaire à l'opcode n°50"
10,1,"[10] Modification : Constitution","Valeur","Méthode","Modifie la Constitution de la cible selon la 'Méthode' souhaitée.

'Méthode' :
 0   Incrémentation  -> Constitution += 'Valeur'
 1   Écrasement  -> Constitution = 'Valeur'
 2   Pourcentage -> Constitution *= 'Valeur' / 100
 3+ Sans effet

* 'Valeur' peut être positif ou négatif
* Affecte la stat #41 (CON)
* Est borné par [0; 25]"
